Department,Term,Weekdays,Hours
Aerospace Engineering,B17,MTWRF-,9:00-9:50
Aerospace Engineering,B17,MT-RF-,11:00-11:50
Aerospace Engineering,B17,--W---,11:00-11:50
Aerospace Engineering,B17,MTWRF-,10:00-10:50
Aerospace Engineering,B17,M-W---,12:00-12:50
Aerospace Engineering,B17,-T-R--,12:00-1:50
Aerospace Engineering,B17,M-W---,12:00-12:50
Aerospace Engineering,B17,-T-R--,9:00-10:50
Aerospace Engineering,B17,M-W---,12:00-12:50
Aerospace Engineering,B17,-T-R--,3:00-4:50
Aerospace Engineering,B17,----F-,3:00-3:50
Aerospace Engineering,B17,MTWRF-,10:00-10:50
Aerospace Engineering,B17,MTWRF-,11:00-11:50
Aerospace Studies  (AFROTC),B17,--W---,2:00-2:50
Aerospace Studies  (AFROTC),B17,--W---,3:00-5:00
Aerospace Studies  (AFROTC),B17,---R--,4:00-5:00
Aerospace Studies  (AFROTC),B17,--W---,3:00-5:00
Aerospace Studies  (AFROTC),B17,-T-R--,7:30-8:50
Aerospace Studies  (AFROTC),B17,--W---,3:00-5:50
Aerospace Studies  (AFROTC),B17,MT----,4:00-6:20
Aerospace Studies  (AFROTC),B17,--W---,3:00-5:50
Bioinformatics & Comput'nl Bio,B17,-T--F-,1:00-2:50
Bioinformatics & Comput'nl Bio,B17,M--R--,12:00-1:50
Biology/ Biotechnology,B17,MT-RF-,12:00-12:50
Biology/ Biotechnology,B17,-T--F-,1:00-2:50
Biology/ Biotechnology,B17,MT-RF-,3:00-3:50
Biology/ Biotechnology,B17,MT-RF-,3:00-3:50
Biology/ Biotechnology,B17,-T--F-,12:00-1:50
Biology/ Biotechnology,B17,--W---,12:00-12:50
Biology/ Biotechnology,B17,M-W-F-,9:00-10:50
Biology/ Biotechnology,B17,M-W-F-,12:00-1:50
Biology/ Biotechnology,B17,M-W-F-,3:00-4:50
Biology/ Biotechnology,B17,MTWRF-,10:00-10:50
Biology/ Biotechnology,B17,MT-R--,3:00-3:50
Biology/ Biotechnology,B17,----F-,11:00-11:50
Biology/ Biotechnology,B17,MT-R--,3:00-3:50
Biology/ Biotechnology,B17,----F-,10:00-10:50
Biology/ Biotechnology,B17,MT-R--,3:00-3:50
Biology/ Biotechnology,B17,----F-,1:00-1:50
Biology/ Biotechnology,B17,MTWRF-,12:00-12:50
Biology/ Biotechnology,B17,-T-R--,10:00-11:50
Biology/ Biotechnology,B17,M--R--,9:00-11:50
Biology/ Biotechnology,B17,-T--F-,1:00-3:50
Biology/ Biotechnology,B17,--W---,9:00-11:50
Biology/ Biotechnology,B17,--W---,1:00-3:50
Biology/ Biotechnology,B17,MT----,1:00-3:50
Biology/ Biotechnology,B17,----F-,9:00-11:50
Biology/ Biotechnology,B17,MTWRF-,10:00-10:50
Biology/ Biotechnology,B17,MT-RF-,2:00-2:50
Biology/ Biotechnology,B17,MT-RF-,9:00-9:50
Biology/ Biotechnology,B17,M--R--,11:00-12:50
Biomedical Engineering,B17,MT-RF-,2:00-2:50
Biomedical Engineering,B17,MT-RF-,3:00-3:50
Biomedical Engineering,B17,--W---,1:00-1:50
Biomedical Engineering,B17,--W---,2:00-3:50
Biomedical Engineering,B17,-TWR--,2:00-2:50
Biomedical Engineering,B17,---R--,10:00-11:50
Biomedical Engineering,B17,---R--,10:00-10:50
Biomedical Engineering,B17,-T----,11:00-12:50
Biomedical Engineering,B17,-T----,3:00-4:50
Biomedical Engineering,B17,---R--,3:00-4:50
Biomedical Engineering,B17,----F-,1:00-1:50
Biomedical Engineering,B17,----F-,10:00-11:50
Biomedical Engineering,B17,----F-,1:00-1:50
Biomedical Engineering,B17,----F-,2:00-3:50
Biomedical Engineering,B17,MT-RF-,11:00-11:50
"Business, School of",B17,-T--F-,8:00-9:50
"Business, School of",B17,M--R--,8:00-9:50
"Business, School of",B17,-T--F-,12:00-1:50
"Business, School of",B17,M--R--,8:00-9:50
"Business, School of",B17,M--R--,2:00-3:50
"Business, School of",B17,-T--F-,10:00-11:50
"Business, School of",B17,-T--F-,10:00-11:50
"Business, School of",B17,M--R--,12:00-1:50
"Business, School of",B17,-T--F-,8:00-9:50
"Business, School of",B17,-T--F-,12:00-1:50
"Business, School of",B17,M--R--,2:00-3:50
"Business, School of",B17,M--R--,10:00-11:50
Chemical Engineering,B17,MT-RF-,9:00-9:50
Chemical Engineering,B17,--W---,9:00-9:50
Chemical Engineering,B17,MT-RF-,10:00-10:50
Chemical Engineering,B17,--W---,10:00-11:50
Chemical Engineering,B17,MT-RF-,10:00-10:50
Chemical Engineering,B17,--W---,10:00-11:50
